models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.789927119708749,0.832313829787234,0.9085195530726258,0.8673411703444267,0.7830530042969158,0.837755353388546,0.8918493372981412,0.8598237628903188,0.7909814323607428,0.8311642231784575,0.9121049682025293,0.8674018776044194,0.7958242363446825,0.8343978402502772,0.914155906264945,0.870124263079324,0.794741905268221,0.8321367585309485,0.9156271837875612,0.8698396846073764,0.7963188112124282,0.8339505484652829,0.9156468531468531,0.8707804094709442,0.7989968253968255,0.8350557054797337,0.9184356725146201,0.8725668582599153,0.8011982082866741,0.8360350506831663,0.9197476525821596,0.8741017798290868,0.8022901849217638,0.8374243582701424,0.9211083743842364,0.8744891732492164,0.8034502923976606,0.8384451920198823,0.9246666666666671,0.8756599137654751
DECISION TREE,0.7448536878057787,0.8223045036887497,0.8470670391061452,0.8325917638820093,0.7570723589831871,0.8269345145283564,0.8597273755953792,0.8405758943076943,0.7718832891246684,0.837595556803912,0.8702443897565848,0.8507294426158559,0.7587222910642984,0.8310225375097637,0.8576347612215617,0.8387977781601943,0.7698235487709172,0.8279017230115415,0.8814159678546472,0.8510526907755458,0.7671760666441517,0.8457372477313788,0.8501311188811188,0.8430609193659422,0.7592211640211641,0.8317941536057131,0.8592105263157894,0.8406205580766721,0.7774468085106384,0.8426865082942978,0.8716451486697965,0.8534418184140525,0.7726742532005687,0.8421377094753635,0.8641625615763544,0.8485303612251323,0.7694444444444438,0.8398421365785914,0.8710476190476194,0.8474256689528222
RANDOM FOREST,0.7750696269078449,0.8116949492859882,0.9203910614525139,0.8609454231593224,0.7650181091544898,0.8159290618307011,0.8981459552234007,0.8504218606677029,0.7830238726790452,0.8139992549590799,0.9281498988816063,0.8656586172237729,0.7878464231624083,0.8155741433012151,0.9323051171688188,0.8688110164879017,0.7904888483835852,0.8196673181309251,0.9302454577218727,0.8703312795426855,0.7931385793087921,0.8190839909842547,0.9351787101787101,0.8723107075881973,0.7899809523809525,0.815047645031774,0.937280701754386,0.8708430582837383,0.7953807390817469,0.8190406026884061,0.9386248043818466,0.8736655383262917,0.7917638691322902,0.8175856007304817,0.9365517241379311,0.8711608098104608,0.794327485380117,0.817394131539255,0.9458571428571431,0.8744199197329564
KNN,0.7867497236312713,0.8373726033464314,0.8945530726256983,0.8634587215267193,0.7751165365440374,0.8429769321023087,0.8667330391890271,0.8501199371682789,0.7915119363395225,0.8471821231929422,0.8855924563241636,0.863420565049996,0.798501209653626,0.8474048860746617,0.8960306073648973,0.8686531300872705,0.7926482873851296,0.8461598752300564,0.8891072676450035,0.8646480012331325,0.7947765394573905,0.848634116646747,0.8884712509712509,0.8658674744963667,0.79794708994709,0.8477311644495865,0.8954605263157894,0.8685857005850675,0.8007614781634939,0.8500825674665012,0.8954029733959313,0.8696479449454628,0.8012944523470839,0.8500246865476124,0.8975615763546797,0.8703611662396145,0.79859649122807,0.8509967202989647,0.8972380952380956,0.8686380886725438
LINEAR DISCRIMINANT,0.7851539897287647,0.8359890839959934,0.8966480446927374,0.862826821119907,0.7682121049487104,0.8401129439014623,0.8674435468072478,0.8458628591574122,0.7840848806366048,0.8304683266259303,0.9023391242903438,0.8618009466701777,0.7910564308333825,0.8318520610598432,0.9106715857074539,0.8668564155530436,0.7905091010354169,0.8301474179463944,0.9121418588399721,0.8669421977379597,0.7899724192277382,0.8312743859633279,0.9093822843822844,0.8663648654001861,0.7947640211640212,0.8336057874245628,0.9135672514619884,0.8693852900004531,0.7964501679731242,0.8352706980194047,0.9127738654147105,0.8703009796687636,0.7975106685633001,0.8356544437225305,0.9148275862068966,0.8705558832312643,0.798625730994152,0.837984235235009,0.9171428571428574,0.8716767134511845
