models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9984082061812034,0.9931714404317145,1.0,0.9965727302174436,0.9984084871683224,0.9931662162581928,1.0,0.9965713928276821,0.9984084880636604,0.9932073544433095,1.0,0.9965843422114607,0.9984067976633033,0.9931972789115646,1.0,0.9965714285714286,0.9984076352497405,0.9932426303854877,1.0,0.9965867147997732,0.9984070696836653,0.9932323232323232,1.0,0.9965775539196693,0.9984084656084656,0.9934050179211469,1.0,0.9966472168194868,0.998404255319149,0.9933794466403162,1.0,0.9966149870801033,0.9984068278805122,0.9937777777777776,1.0,0.9967182662538698,0.9984210526315789,0.9946666666666666,1.0,0.997070707070707
DECISION TREE,0.9989384288747346,0.9954545454545455,1.0,0.997716894977169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RANDOM FOREST,0.9941624845492432,0.9818798848210613,0.9931192660550459,0.9874663255010869,0.9899209813035216,0.9670511603043326,0.9908045977011494,0.9785326674686873,0.9941644562334216,0.978313737422033,0.9977011494252874,0.9876934662174648,0.994170059597569,0.9759470569705112,1.0,0.9877119602838106,0.9931065036328194,0.9716106987868522,1.0,0.9854720467103153,0.9930991782055612,0.973572683355292,0.9976744186046511,0.9853383874066692,0.9925671957671958,0.9698073476702509,1.0,0.9844419746225802,0.9920492721164613,0.9723432147562583,0.9954545454545455,0.9833684477240185,0.9952204836415361,0.982141414141414,1.0,0.9903907808737529,0.9931286549707601,0.9773333333333332,1.0,0.9872121212121211
KNN,0.9071626218893039,0.8659276018099547,0.7247706422018348,0.7817854313162325,0.9087597338815024,0.8768204564304426,0.7496142339789009,0.7864037847134199,0.9108753315649867,0.8817793317793319,0.740778474399164,0.7940912612567288,0.9193819948466789,0.894572605439204,0.7543339916611805,0.8121762117175223,0.9204399888610415,0.9045169130655454,0.747543461829176,0.8112934216568306,0.9220167736125184,0.904119387126106,0.7564482029598308,0.8158263445545334,0.9231068783068785,0.9103973634075306,0.7526436781609195,0.8160845197559222,0.9241601343784994,0.908465148378192,0.7614718614718615,0.8193729458661814,0.9247368421052632,0.912541847041847,0.766388888888889,0.8156051136685811,0.9252631578947361,0.9103809523809523,0.7685,0.8094321789321788
LINEAR DISCRIMINANT,0.9909811483880555,0.9624770964094966,1.0,0.9808786314404292,0.9909833962850074,0.9629716837613694,1.0,0.981017089877534,0.9909814323607428,0.9632684383146918,1.0,0.9810912996040931,0.9909856218406404,0.9631205829233548,1.0,0.9810670333726812,0.9909825067719805,0.9634289423271684,1.0,0.9811366328552749,0.9909799617246426,0.963467415951888,1.0,0.9811393749016076,0.9909714285714285,0.9638306451612905,1.0,0.9812367632984471,0.990996640537514,0.964009881422925,1.0,0.9813462030324109,0.9909530583214794,0.9666969696969693,1.0,0.9819058430389696,0.9909941520467835,0.9696666666666665,1.0,0.9829696969696968
