models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9984076433121019,0.997913769123783,1.0,0.9989547038327526,0.998407643312102,0.9979108614821092,1.0,0.998953609790649,0.9984084880636604,0.9979142469996128,1.0,0.9989540957488858,0.9984067976633033,0.997912790500998,1.0,0.998953847775078,0.9984051036682615,0.9979166666666668,1.0,0.9989550679205852,0.998404255319149,0.9979166666666666,1.0,0.9989547038327526,0.9984084656084656,0.9979166666666667,1.0,0.9989528795811519,0.998404255319149,0.9979261796042618,1.0,0.9989558717144924,0.9984068278805122,0.9979770114942528,1.0,0.9989711567053225,0.9984210526315789,0.998,1.0,0.9989655172413794
DECISION TREE,0.9984076433121019,0.997913769123783,1.0,0.9989547038327526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RANDOM FOREST,0.9925723793377508,0.9903200134678074,1.0,0.9951359913460053,0.992570689835583,0.9903323598108585,1.0,0.9951381579685424,0.9931034482758619,0.9910271752425034,1.0,0.9954866919077052,0.9931020239570426,0.9910181155994714,1.0,0.9954847459817996,0.9915090757196021,0.988987300395528,1.0,0.994453043956505,0.9941630079927952,0.9924325565527738,1.0,0.9961865461153376,0.9946962962962964,0.9931125371110645,1.0,0.9965312634870226,0.9925643896976485,0.9903914188160764,1.0,0.9951482678608329,0.9925604551920343,0.9905487578791248,1.0,0.9951822777282185,0.9931286549707601,0.9914166666666668,1.0,0.9955617352614019
KNN,0.9066329620648741,0.9150415373801538,0.967877094972067,0.9402164727640642,0.9050442349430735,0.9216260872203365,0.9602408123762824,0.9387688804699413,0.9103448275862069,0.9182502307669692,0.9693184863916571,0.942369059003345,0.9140752542239531,0.9194885454655848,0.9727949716471954,0.9449374624580277,0.917779296726665,0.9195093404104541,0.9783848707197763,0.9476081597397401,0.9182961837217156,0.9212240097694215,0.9769959207459209,0.9478125987622533,0.9204529100529102,0.9217725532674217,0.9797733918128656,0.9494172921819594,0.9193505039193729,0.9210214538949089,0.9790492957746478,0.9486647553231571,0.920469416785206,0.9250697879800309,0.9776354679802957,0.9496261867529481,0.9210233918128646,0.9262472995270984,0.9786666666666669,0.9502299459182114
LINEAR DISCRIMINANT,0.9909805855189541,0.9882720071328144,1.0,0.9941003490056568,0.9909800208601257,0.9882720248824919,1.0,0.9940997514163487,0.9909814323607428,0.9883086817007026,1.0,0.994109796870843,0.9909797210912453,0.9882875496531047,1.0,0.99410284545678,0.9909799751905015,0.9883014825901447,1.0,0.9941069102051987,0.9909771473601261,0.9883087965149844,1.0,0.9941080186259104,0.9909756613756614,0.9883575126395451,1.0,0.9941203694072803,0.9909686450167975,0.9883456230202805,1.0,0.9941136860043333,0.9909672830725463,0.9885687801260657,1.0,0.9941647338685695,0.9909941520467833,0.9887916666666667,1.0,0.9942046718576201
