models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.789396334,0.831550515,0.909442586,0.867464461,0.783582946,0.839914224,0.890683461,0.86013268,0.793103448,0.833656049,0.912195122,0.868752755,0.796357271,0.835902946,0.91358885,0.870598273,0.8000481,0.836279576,0.917872117,0.873396578,0.796856355,0.834484247,0.915763403,0.871297805,0.802179894,0.836903035,0.920562865,0.874781247,0.801719768,0.837388876,0.919111894,0.874441883,0.803883357,0.838972807,0.921921182,0.875722249,0.808356725,0.841124531,0.92747619,0.878913242
DECISION TREE,0.754399948,0.832480985,0.848836261,0.838453588,0.75813393,0.827520253,0.86141514,0.841686226,0.766578249,0.837536107,0.862020906,0.847061574,0.766163136,0.834437714,0.86271777,0.844871902,0.773018405,0.836416622,0.87471174,0.85173434,0.778844422,0.845473851,0.870507964,0.854552421,0.760334392,0.832219739,0.858589181,0.841187541,0.771075028,0.837183644,0.869679186,0.849687702,0.779644381,0.843491758,0.872832512,0.854128915,0.778991228,0.840816524,0.877571429,0.852542291
RANDOM FOREST,0.77082672,0.811394488,0.9150243,0.858107853,0.767671193,0.816368851,0.901142257,0.852687656,0.787267905,0.819260723,0.92543554,0.867188251,0.7942271,0.822234064,0.931707317,0.872148653,0.793665983,0.818079766,0.938770964,0.873271049,0.787839131,0.813348762,0.936689005,0.869698942,0.789439153,0.816834855,0.933121345,0.870034509,0.787922973,0.815666996,0.933098592,0.869238761,0.79487909,0.81992047,0.938054187,0.873479587,0.799555556,0.821936517,0.945190476,0.877211103
KNN,0.789402526,0.839498248,0.896209446,0.865390315,0.777237991,0.845774229,0.867011411,0.851610409,0.793633952,0.849137115,0.88641115,0.864886347,0.800094412,0.849215435,0.896167247,0.869739927,0.793711552,0.847737407,0.889347484,0.865531428,0.79689857,0.851092882,0.888646076,0.867272991,0.799538624,0.850084302,0.894824561,0.869607739,0.802845669,0.853303686,0.894796557,0.871039936,0.803399716,0.851970266,0.898374384,0.871786455,0.800953216,0.852758891,0.896047619,0.86953155
LINEAR DISCRIMINANT,0.783563322,0.835475814,0.895517923,0.862002389,0.771392599,0.842860642,0.86980809,0.848523295,0.786206897,0.832809581,0.902439024,0.862997911,0.78947503,0.831982403,0.908013937,0.865760098,0.795286195,0.834534914,0.913015374,0.869782141,0.792091636,0.833569772,0.909503691,0.867809897,0.797934392,0.835993586,0.91498538,0.871606501,0.797481005,0.836580512,0.912842332,0.871014299,0.7985633,0.836556996,0.915640394,0.871574828,0.80474269,0.841093116,0.921285714,0.875760867
