models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.7883358887590537,0.5960898055645074,0.3876146788990825,0.44807225258044925,0.779873354058442,0.6527129819584799,0.4124232404345773,0.4408051035958012,0.7946949602122017,0.6728059517428345,0.3897335423197492,0.4578266310561035,0.7937039003953502,0.6689277220388057,0.38965693804403484,0.45510173556817507,0.7947343105237843,0.6793715385685654,0.375755857898715,0.44928608376010776,0.7941939660024766,0.6682907444927906,0.3849365750528541,0.4500245203259186,0.7995259259259259,0.6977157541948675,0.3972413793103448,0.47089313732643345,0.798023516237402,0.693283158018452,0.3897186147186146,0.4664538356858059,0.8012091038406827,0.6987054057054058,0.39555555555555544,0.46418476947888715,0.8044152046783624,0.6554801587301589,0.39849999999999985,0.46327777777777757
DECISION TREE,0.761822502606084,0.505656108597285,0.45871559633027525,0.4727131240907194,0.7422314596349816,0.5171067913686656,0.40823492363407343,0.420197214011647,0.756498673740053,0.5186115214449188,0.39913793103448275,0.43010710913961814,0.758193190535198,0.5403544024966358,0.4287177236485992,0.45140431313513446,0.7517986886407938,0.5131554473126126,0.4305555555555556,0.44304157559173796,0.7613587751885624,0.5538232727178384,0.4535940803382664,0.47163211709471353,0.7586624338624338,0.553937048840329,0.4291954022988505,0.44669191516266493,0.7721164613661815,0.5800993645730488,0.44058441558441547,0.4662011242477277,0.7657610241820767,0.635735818103465,0.43499999999999994,0.45755518515077,0.7690350877192981,0.6201435786435786,0.4234999999999998,0.4537471417471414
RANDOM FOREST,0.7830285960018282,0.5980118443316413,0.3256880733944954,0.3908555083643928,0.7660813679921961,0.6585096619752658,0.30910092898756103,0.34945956761613356,0.7787798408488064,0.6526568261221726,0.27970219435736676,0.35707949650614823,0.7878542908282684,0.6762505351791067,0.27741204008485115,0.37124234538658996,0.7894255841624263,0.667542270531401,0.2771164021164021,0.36498480049735826,0.7899555330406395,0.6637237237237237,0.2956659619450317,0.38486061738090555,0.7952507936507937,0.6901147612501766,0.3055172413793103,0.3974379192920432,0.7910918253079506,0.7177976435329376,0.2729437229437229,0.36899738744225874,0.7975106685633,0.7193571428571427,0.30861111111111106,0.39303831445472304,0.7926608187134501,0.5721428571428572,0.291,0.3635180375180374
KNN,0.7894019628371305,0.6013614404918752,0.42201834862385323,0.47528447498873366,0.7761747322444212,0.6203795572371197,0.46528105810108644,0.4910746412468958,0.7888594164456233,0.631821403037374,0.44950365726227803,0.49924422523384726,0.7953207057296277,0.6421820377988917,0.4609026406261429,0.5135950852759794,0.7937166147692464,0.637412487305815,0.4632464096749811,0.5122023304321357,0.7937267814927388,0.6394318320072339,0.4588794926004228,0.512271758864987,0.8000677248677249,0.6633628858781807,0.4706513409961687,0.5236726316595823,0.7975811870100784,0.6670899743549998,0.46049783549783563,0.5165274176146741,0.7997155049786626,0.666556166056166,0.46916666666666657,0.5116713632025385,0.7970175438596486,0.6536785714285714,0.46549999999999997,0.5031875346875343
LINEAR DISCRIMINANT,0.7851500496450547,0.579462230592174,0.39908256880733944,0.44263551043861327,0.7703293402056985,0.6285186198985909,0.42834199338686824,0.4319440907676202,0.7872679045092837,0.6426110708921989,0.38978578892371996,0.44719491370186876,0.7889282272181901,0.6422449155615325,0.38044034818228367,0.44218788518472657,0.7942128047391207,0.6769067164036628,0.38964474678760397,0.4598851414685778,0.7920775638860745,0.6624286743851961,0.3873150105708245,0.45698505631019326,0.7957968253968255,0.6769445407533643,0.3995402298850575,0.46877759266174446,0.798555431131019,0.6878238251400016,0.39448051948051943,0.4695299756490424,0.8001706970128021,0.6853073593073593,0.3958333333333332,0.4608243598506757,0.8016959064327485,0.6469047619047619,0.3979999999999999,0.4603025308025307
