models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
DECISION TREE,0.9952240556745086,0.25,0.25,0.25,0.9952254615049668,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.9952254641909815,0.05,0.2,0.08,0.9952262937393048,0.0,0.0,0.0,0.9957596010227588,0.0,0.0,0.0,0.9962906675672633,0.0,0.0,0.0,0.9957671957671957,0.03333333333333333,0.06666666666666667,0.04444444444444444,0.9952407614781634,0.0,0.0,0.0,0.9957894736842104,0.0,0.0,0.0,0.9957894736842104,0.0,0.0,0.0
RANDOM FOREST,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
KNN,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
LINEAR DISCRIMINANT,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
