models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9936339504630161,1.0,0.14285714285714285,0.25,0.9968161304804242,0.8888888888888888,0.6333333333333333,0.7367724867724869,0.9989389920424403,0.95,0.9333333333333332,0.9314285714285713,0.9989398320253339,1.0,0.8571428571428571,0.9047619047619048,0.9984076352497405,0.8333333333333334,0.8333333333333334,0.8148148148148148,0.9984098840481819,0.95,0.9,0.9,0.9984126984126984,0.7666666666666667,0.8,0.7777777777777779,0.9984098544232923,0.575,0.6,0.5833333333333334,0.9984210526315789,0.23,0.24,0.2333333333333333,0.9984210526315789,0.12,0.12,0.12
DECISION TREE,0.9872633979732209,0.4,0.2857142857142857,0.3333333333333333,0.9920415919853912,0.5333333333333333,0.3666666666666667,0.4222222222222222,0.9893899204244032,0.31333333333333335,0.3666666666666666,0.31,0.9899293876989045,0.5273809523809524,0.6428571428571429,0.5340136054421769,0.9909850383534595,0.5777777777777778,0.6666666666666666,0.5687830687830687,0.9952240234155127,0.6,0.55,0.5333333333333333,0.9920338624338624,0.3888888888888889,0.6,0.4555555555555556,0.9925643896976484,0.36666666666666664,0.45,0.3916666666666667,0.9904409672830726,0.15,0.18,0.16,0.991520467836257,0.075,0.09,0.08
RANDOM FOREST,0.9925729422068521,0.0,0.0,0.0,0.9925732214042443,0.0,0.0,0.0,0.9925729442970823,0.0,0.0,0.0,0.9925729234279421,0.0,0.0,0.0,0.9925774031037188,0.0,0.0,0.0,0.9925785207700102,0.0,0.0,0.0,0.9925756613756617,0.0,0.0,0.0,0.9925811870100784,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0
KNN,0.9925729422068521,0.0,0.0,0.0,0.9925732214042443,0.0,0.0,0.0,0.9925729442970823,0.0,0.0,0.0,0.9925729234279421,0.0,0.0,0.0,0.9925774031037188,0.0,0.0,0.0,0.9925785207700102,0.0,0.0,0.0,0.9925756613756617,0.0,0.0,0.0,0.9925811870100784,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0
LINEAR DISCRIMINANT,0.9819639853834152,0.08571428571428572,0.14285714285714285,0.10644257703081232,0.9819676364262352,0.1488095238095238,0.21666666666666667,0.16970310391363022,0.9814323607427055,0.15,0.13333333333333333,0.13714285714285715,0.9825062449597767,0.14285714285714285,0.21428571428571427,0.16666666666666666,0.9814511025037341,0.10648148148148147,0.16666666666666666,0.12222222222222223,0.9809214229426996,0.09583333333333333,0.2,0.12666666666666665,0.9814433862433861,0.10952380952380952,0.2,0.12777777777777777,0.9814837625979844,0.08499999999999999,0.15,0.1,0.9809530583214796,0.06,0.06,0.06,0.9809356725146194,0.03,0.03,0.03
