models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
DECISION TREE,0.9984087690503047,0.25,0.5,0.3333333333333333,0.9973477598992773,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.9968169761273209,0.1,0.2,0.13333333333333333,0.9978796640506679,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.9973519657730184,0.0,0.0,0.0,0.9973516829899808,0.0,0.0,0.0,0.9968253968253968,0.0,0.0,0.0,0.9978891377379618,0.05,0.05,0.05,0.9973684210526315,0.0,0.0,0.0,0.9968421052631578,0.0,0.0,0.0
RANDOM FOREST,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
KNN,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
LINEAR DISCRIMINANT,0.9984087690503047,0.0,0.0,0.0,0.9984084871683224,0.0,0.0,0.0,0.9984084880636604,0.0,0.0,0.0,0.9984107314962334,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984126984126984,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0,0.9984210526315789,0.0,0.0,0.0
