models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.990981711,0.990981711,1,0.995470361,0.990982539,0.990982539,1,0.995470711,0.990984194,0.990984194,1,0.995471269,0.990985592,0.990985592,1,0.995471554,0.990985014,0.990985014,1,0.995471538,0.990991159,0.990991159,1,0.995473736,0.990992326,0.990992326,1,0.99547401,0.99100224,0.99100224,1,0.995477181,0.991282051,0.991282051,1,0.995584416,0.9915,0.9915,1,0.995641026
DECISION TREE,0.979308369,0.99140235,0.987687366,0.989537871,0.983023271,0.991963954,0.990899066,0.991430229,0.976667537,0.990846782,0.985548594,0.988145479,0.97507315,0.991367093,0.983401521,0.987334524,0.977205567,0.991387197,0.985558859,0.988431078,0.979331156,0.991402444,0.98769191,0.989516477,0.97879735,0.991405892,0.987156989,0.989262174,0.980402895,0.991431308,0.988761153,0.990072067,0.979085604,0.99117263,0.98769559,0.989327701,0.979374269,0.991783626,0.987163743,0.98927658
RANDOM FOREST,0.990981711,0.990981711,1,0.995470361,0.990982539,0.990982539,1,0.995470711,0.990984194,0.990984194,1,0.995471269,0.990985592,0.990985592,1,0.995471554,0.990985014,0.990985014,1,0.995471538,0.990991159,0.990991159,1,0.995473736,0.990992326,0.990992326,1,0.99547401,0.99100224,0.99100224,1,0.995477181,0.991282051,0.991282051,1,0.995584416,0.9915,0.9915,1,0.995641026
KNN,0.990981711,0.990981711,1,0.995470361,0.990982539,0.990982539,1,0.995470711,0.990984194,0.990984194,1,0.995471269,0.990985592,0.990985592,1,0.995471554,0.990985014,0.990985014,1,0.995471538,0.990991159,0.990991159,1,0.995473736,0.990992326,0.990992326,1,0.99547401,0.99100224,0.99100224,1,0.995477181,0.991282051,0.991282051,1,0.995584416,0.9915,0.9915,1,0.995641026
LINEAR DISCRIMINANT,0.981964548,0.99142435,0.990364026,0.99089362,0.981966768,0.991950013,0.989829835,0.990883522,0.981975421,0.992479691,0.989297644,0.990865024,0.982506201,0.992485044,0.989830113,0.99115009,0.980921978,0.991947362,0.988769148,0.990323601,0.981453248,0.991957212,0.989299063,0.990594642,0.980943315,0.991421903,0.989311828,0.990317607,0.980419572,0.991430147,0.988789751,0.990039842,0.981330926,0.992138934,0.988847795,0.990388702,0.981064327,0.992211257,0.988274854,0.990012609
