models,2,precision,recall,f1_score,3,precision,recall,f1_score,5,precision,recall,f1_score,7,precision,recall,f1_score,9,precision,recall,f1_score,10,precision,recall,f1_score,15,precision,recall,f1_score,20,precision,recall,f1_score,50,precision,recall,f1_score,100,precision,recall,f1_score
LOGISTIC REGRESSION,0.9925729422068521,0.0,0.0,0.0,0.9925732214042443,0.0,0.0,0.0,0.9925729442970823,0.0,0.0,0.0,0.9925729234279421,0.0,0.0,0.0,0.9925774031037188,0.0,0.0,0.0,0.9925785207700102,0.0,0.0,0.0,0.9925756613756617,0.0,0.0,0.0,0.9925811870100784,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0
DECISION TREE,0.9846139731128687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.9851481305209293,0.0,0.0,0.0,0.9803713527851459,0.016666666666666666,0.1,0.02857142857142857,0.9793218072028481,0.0,0.0,0.0,0.9793245740614162,0.013888888888888888,0.05555555555555555,0.022222222222222223,0.9825059101654847,0.08333333333333333,0.1,0.09,0.9793185185185185,0.03333333333333333,0.06666666666666667,0.04444444444444444,0.9825083986562151,0.05,0.05,0.05,0.9830867709815078,0.02,0.02,0.02,0.9804678362573095,0.005,0.01,0.006666666666666666
RANDOM FOREST,0.9925729422068521,0.0,0.0,0.0,0.9920424358416114,0.0,0.0,0.0,0.9925729442970823,0.0,0.0,0.0,0.9925729234279421,0.0,0.0,0.0,0.9925774031037188,0.0,0.0,0.0,0.9925785207700102,0.0,0.0,0.0,0.992046560846561,0.0,0.0,0.0,0.9925811870100784,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0
KNN,0.9925729422068521,0.0,0.0,0.0,0.9925732214042443,0.0,0.0,0.0,0.9925729442970823,0.0,0.0,0.0,0.9925729234279421,0.0,0.0,0.0,0.9925774031037188,0.0,0.0,0.0,0.9925785207700102,0.0,0.0,0.0,0.9925756613756617,0.0,0.0,0.0,0.9925811870100784,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0,0.9926315789473682,0.0,0.0,0.0
LINEAR DISCRIMINANT,0.9835546534640089,0.12692307692307692,0.21428571428571427,0.1588235294117647,0.9819676364262352,0.1488095238095238,0.21666666666666667,0.16970310391363022,0.9814323607427055,0.15,0.13333333333333333,0.13714285714285715,0.9814460769851107,0.12857142857142856,0.21428571428571427,0.15306122448979595,0.9803878382825751,0.08796296296296297,0.16666666666666666,0.1111111111111111,0.9809214229426996,0.09583333333333333,0.2,0.12666666666666665,0.9814433862433861,0.10952380952380952,0.2,0.12777777777777777,0.9814837625979844,0.08499999999999999,0.15,0.1,0.9809530583214796,0.06,0.06,0.06,0.9809356725146194,0.03,0.03,0.03
